Materia,Voto
Ed. Civica,10
Ed. Civica,"8.5"
Ed. Civica,9
GPOI,"6.5"
GPOI,8
GPOI,"8.5"
GPOI,"8.5"
GPOI,"8.5"
Informatica,"7.75"
Informatica,8
Informatica,"8.75"
Informatica,"8.25"
Italiano,"8.5"
Italiano,8
Italiano,"9.25"
Italiano,8
Italiano,"7.5"
Inglese,"7.5"
Inglese,"8.5"
Inglese,"8.25"
Inglese,"8.75"
Inglese,"8.5"
Matematica,"5.75"
Matematica,9
Matematica,"8.25"
Matematica,8
Microrobotica,9
Microrobotica,8
Microrobotica,"8.5"
Scienze Motorie,8
Scienze Motorie,"9.5"
Scienze Motorie,9
Scienze Motorie,"9.5"
Sistemi e Reti,8
Sistemi e Reti,"7.75"
Sistemi e Reti,"7.25"
Storia,10
Storia,9
Storia,9
TPSIT,"9.5"
TPSIT,8
TPSIT,"9.5"
TPSIT,"8.5"